sequential,time,
0,3,
1,386,
2,346,
3,334,
4,273,
5,311,
6,273,
7,319,
8,568,
9,278,
10,286,
11,452,
12,274,
13,292,
14,282,
15,292,
16,557,
17,283,
18,299,
19,444,
20,285,
21,294,
22,295,
23,285,
24,563,
25,278,
26,294,
27,610,
28,110,
29,85,
30,80,
31,91,
32,90,
33,88,
34,88,
35,92,
36,83,
37,86,
38,107,
39,102,
40,83,
41,242,
42,115,
43,85,
44,82,
45,85,
46,84,
47,97,
48,101,
49,110,
50,86,
51,82,
52,93,
53,98,
54,909,
55,181,
56,123,
57,144,
58,125,
59,158,
60,251,
61,160,
62,127,
63,118,
64,142,
65,139,
66,259,
67,172,
68,134,
69,133,
70,128,
71,148,
72,229,
73,170,
74,158,
75,120,
76,140,
77,148,
78,241,
79,160,
80,135,
81,1006,
82,168,
83,245,
84,151,
85,202,
86,147,
87,200,
88,167,
89,178,
90,154,
91,159,
92,153,
93,215,
94,175,
95,158,
96,162,
97,142,
98,155,
99,159,
random,time,
0,95,
1,5323,
2,139,
3,2686,
4,4458,
5,4059,
6,3700,
7,3221,
8,3278,
9,2876,
10,3085,
11,1683,
12,278,
13,4103,
14,15798,
15,3938,
16,3897,
17,831,
18,2076,
19,3239,
20,501,
21,2109,
22,1644,
23,4283,
24,3050,
25,3950,
26,3049,
27,3243,
28,754,
29,3409,
30,1264,
31,3234,
32,1658,
33,1966,
34,4286,
35,5469,
36,1317,
37,3951,
38,3165,
39,2297,
40,1178,
41,3616,
42,276,
43,1013,
44,3199,
45,1671,
46,2220,
47,2243,
48,1956,
49,1440,
50,3185,
51,863,
52,0,
53,2523,
54,1853,
55,3711,
56,2046,
57,4310,
58,3527,
59,661,
60,1235,
61,283,
62,1975,
63,4294,
64,1474,
65,4323,
66,3041,
67,2021,
68,523,
69,326,
70,2116,
71,768,
72,4455,
73,3792,
74,3545,
75,4435,
76,1485,
77,1419,
78,1106,
79,620,
80,500,
81,1168,
82,2155,
83,1058,
84,314,
85,1960,
86,802,
87,1687,
88,3802,
89,795,
90,666,
91,1047,
92,3011,
93,1990,
94,1921,
95,1679,
96,3079,
97,937,
98,4283,
99,1847,
