sequential,time,
0,00:00:00.0041213,
1,00:00:00.3809600,
2,00:00:00.3640381,
3,00:00:00.3840802,
4,00:00:00.2966737,
5,00:00:00.3110248,
6,00:00:00.3129247,
7,00:00:00.3125705,
8,00:00:00.6350791,
9,00:00:00.2866444,
10,00:00:00.2918158,
11,00:00:00.4793498,
12,00:00:00.2687789,
13,00:00:00.3199827,
14,00:00:00.2835024,
15,00:00:00.2885116,
16,00:00:00.5879185,
17,00:00:00.2981151,
18,00:00:00.2816682,
19,00:00:00.4574312,
20,00:00:00.2980940,
21,00:00:00.2811213,
22,00:00:00.2910440,
23,00:00:00.2705213,
24,00:00:00.5589342,
25,00:00:00.3073319,
26,00:00:00.3060621,
27,00:00:00.6324258,
28,00:00:00.1165653,
29,00:00:00.0899614,
30,00:00:00.0874554,
31,00:00:00.0999304,
32,00:00:00.0823008,
33,00:00:00.0837172,
34,00:00:00.0963527,
35,00:00:00.1190163,
36,00:00:00.0887453,
37,00:00:00.0786468,
38,00:00:00.0923619,
39,00:00:00.0895892,
40,00:00:00.0950473,
41,00:00:00.2665248,
42,00:00:00.1225367,
43,00:00:00.0834188,
44,00:00:00.0995043,
45,00:00:00.1063507,
46,00:00:00.1031778,
47,00:00:00.0786349,
48,00:00:00.0988562,
49,00:00:00.1019220,
50,00:00:00.0998780,
51,00:00:00.0875719,
52,00:00:00.0879521,
53,00:00:00.1154564,
54,00:00:00.9428193,
55,00:00:00.1781542,
56,00:00:00.1211821,
57,00:00:00.1327667,
58,00:00:00.1541067,
59,00:00:00.1377242,
60,00:00:00.2339442,
61,00:00:00.1539195,
62,00:00:00.1292378,
63,00:00:00.1425047,
64,00:00:00.1323681,
65,00:00:00.1503035,
66,00:00:00.2831695,
67,00:00:00.1708439,
68,00:00:00.1275102,
69,00:00:00.1423628,
70,00:00:00.1438422,
71,00:00:00.1365178,
72,00:00:00.2499580,
73,00:00:00.1605279,
74,00:00:00.1194826,
75,00:00:00.1245430,
76,00:00:00.1366756,
77,00:00:00.1404263,
78,00:00:00.2386784,
79,00:00:00.1790773,
80,00:00:00.1486787,
81,00:00:00.9711058,
82,00:00:00.1824956,
83,00:00:00.2374140,
84,00:00:00.1535979,
85,00:00:00.2177336,
86,00:00:00.1514073,
87,00:00:00.2271505,
88,00:00:00.1666089,
89,00:00:00.1648216,
90,00:00:00.1597434,
91,00:00:00.1684092,
92,00:00:00.1533141,
93,00:00:00.2253633,
94,00:00:00.1812532,
95,00:00:00.1564232,
96,00:00:00.1663125,
97,00:00:00.1657243,
98,00:00:00.1685258,
99,00:00:00.1652176,
100,00:00:00.1677854,
101,00:00:00.1891889,
102,00:00:00.3843196,
103,00:00:00.2104596,
104,00:00:00.1490955,
105,00:00:00.1540064,
106,00:00:00.1869016,
107,00:00:00.1613414,
108,00:00:01.5039010,
109,00:00:00.2759485,
110,00:00:00.2657782,
111,00:00:00.2332583,
112,00:00:00.2849391,
113,00:00:00.2308622,
114,00:00:00.3390109,
115,00:00:00.2728054,
116,00:00:00.3061055,
117,00:00:00.2305091,
118,00:00:00.2635262,
119,00:00:00.2693296,
120,00:00:00.2928719,
121,00:00:00.2461055,
122,00:00:00.2927839,
123,00:00:00.2719600,
124,00:00:00.2252449,
125,00:00:00.3189397,
126,00:00:00.2649748,
127,00:00:00.2645112,
128,00:00:00.2270282,
129,00:00:00.3278645,
130,00:00:00.2310874,
131,00:00:00.2219808,
132,00:00:00.2403546,
133,00:00:00.2145893,
134,00:00:00.4029859,
135,00:00:01.5330787,
136,00:00:00.2547203,
137,00:00:00.3630305,
138,00:00:00.2912082,
139,00:00:00.2822501,
140,00:00:00.2395484,
141,00:00:00.3505783,
142,00:00:00.2790341,
143,00:00:00.2695379,
144,00:00:00.2459335,
145,00:00:00.2832749,
146,00:00:00.4543369,
147,00:00:00.2814190,
148,00:00:00.2413264,
149,00:00:00.3492493,
150,00:00:00.2537335,
151,00:00:00.2519138,
152,00:00:00.2391772,
153,00:00:00.2374149,
154,00:00:00.4203584,
155,00:00:00.2883282,
156,00:00:00.2504656,
157,00:00:00.3340363,
158,00:00:00.2678349,
159,00:00:00.2446964,
160,00:00:00.2375398,
161,00:00:00.2397678,
162,00:00:01.9366020,
163,00:00:00.2837652,
164,00:00:00.2616408,
165,00:00:00.3041516,
166,00:00:00.4437495,
167,00:00:00.3228478,
168,00:00:00.2956904,
169,00:00:00.3354227,
170,00:00:00.2825475,
171,00:00:00.2705989,
172,00:00:00.2727160,
173,00:00:00.4298756,
174,00:00:00.3045386,
175,00:00:00.3131149,
176,00:00:00.2971807,
177,00:00:00.2727160,
178,00:00:00.2653107,
179,00:00:00.4289019,
180,00:00:00.3170720,
181,00:00:00.3438702,
182,00:00:00.2934432,
183,00:00:00.3016618,
184,00:00:00.2621549,
185,00:00:00.4030297,
186,00:00:00.3422543,
187,00:00:00.3513864,
188,00:00:00.2790669,
189,00:00:02.0360232,
190,00:00:00.4587954,
191,00:00:00.3613184,
192,00:00:00.2922145,
193,00:00:00.3943378,
194,00:00:00.4111281,
195,00:00:00.3252838,
196,00:00:00.3062233,
197,00:00:00.2947483,
198,00:00:00.3490253,
199,00:00:00.4452895,
random,time,
0,17099,
1,1751,
2,1244,
3,4069,
4,2974,
5,424,
6,490,
7,1989,
8,1995,
9,4351,
10,3232,
11,1969,
12,1450,
13,890,
14,1993,
15,703,
16,458,
17,419,
18,4304,
19,1853,
20,409,
