frame_n,nano_sec,sec,size,compression rate,n_change,
0,242008900,1,134217787,100,200,0.02420089
1,41231400,0,134767169,50.2047,200,0.00412314
2,776777600,0,135342265,33.6126,200,0.07767776
3,30684300,0,135942335,25.3212,200,0.00306843
4,28952300,0,136568005,20.3502,200,0.00289523
5,29918200,0,137219332,17.0394,200,0.00299182
6,32704000,0,137896202,14.6772,200,0.0032704
7,36093100,0,138598672,12.908,200,0.00360931
8,827776400,0,139326657,11.534,200,0.08277764
9,40540800,0,140080071,10.4368,200,0.00405408
10,37515100,0,140859085,9.54074,200,0.00375151
11,39719000,0,141663500,8.79563,200,0.0039719
12,37769400,0,142493202,8.16659,200,0.00377694
13,32959800,0,143347992,7.62876,200,0.00329598
14,34801200,0,144228183,7.16389,200,0.00348012
15,33245600,0,145133661,6.75831,200,0.00332456
16,37047500,0,146064483,6.40156,200,0.00370475
17,40062700,0,147019995,6.08547,200,0.00400627
18,42251400,0,148000481,5.80363,200,0.00422514
19,34512700,0,149005543,5.55089,200,0.00345127
20,44246300,0,150036262,5.32313,200,0.00442463
21,47294400,0,151092268,5.11693,200,0.00472944
22,44422400,0,152173618,4.92949,200,0.00444224
23,41933100,0,153280113,4.75844,200,0.00419331
24,35338700,0,154411895,4.60183,200,0.00353387
25,33991300,0,155569021,4.458,200,0.00339913
26,45565700,0,156751743,4.32552,200,0.00455657
27,34277300,0,158742064,4.224,200,0.00342773
28,35619200,0,160794422,4.13107,200,0.00356192
29,39692700,0,162872437,4.04498,200,0.00396927
30,38756400,0,164942715,3.96426,200,0.00387564
31,35470600,0,167070849,3.88992,200,0.00354706
32,34232600,0,169224128,3.82066,200,0.00342326
33,37463800,0,171365830,3.75522,200,0.00374638
34,34813000,0,173742028,3.69851,200,0.0034813
35,33693200,0,175939140,3.64125,200,0.00336932
36,35513100,0,178361930,3.59162,200,0.00355131
37,32872700,0,180642384,3.54182,200,0.00328727
38,37940400,0,182915471,3.49443,200,0.00379404
39,37505100,0,185246869,3.45049,200,0.00375051
40,38992300,0,187743131,3.4117,200,0.00389923
41,39174100,0,190292698,3.37569,200,0.00391741
42,38424000,0,192699616,3.33889,200,0.0038424
43,40759200,0,195270886,3.30655,200,0.00407592
44,37000900,0,197728350,3.27376,200,0.00370009
45,46380700,0,200174436,3.24221,200,0.00463807
46,47072700,0,202854506,3.21571,200,0.00470727
47,42618200,0,205387433,3.18803,200,0.00426182
48,38991700,0,208081071,3.16393,200,0.00389917
49,37633000,0,210804405,3.14123,200,0.0037633
50,38666300,0,213442804,3.11818,200,0.00386663
