frame_n,nano_sec,sec,size,compression rate,n_change,
0,213402900,0,134217787,100,200,
1,42666800,0,134767169,50.2047,200,549382
2,615895600,0,135342265,33.6126,200,575096
3,46064000,0,135942335,25.3212,200,600070
4,38490600,0,136568005,20.3502,200,625670
5,39194000,0,137219332,17.0394,200,651327
6,29517600,0,137896202,14.6772,200,676870
7,27093500,0,138598672,12.908,200,702470
8,576834300,0,139326657,11.534,200,727985
9,34082300,0,140080071,10.4368,200,753414
10,36643300,0,140859085,9.54074,200,779014
11,31575200,0,141663500,8.79563,200,804415
12,40196200,0,142493202,8.16659,200,829702
13,35525900,0,143347992,7.62876,200,854790
14,31394000,0,144228183,7.16389,200,880191
15,36097400,0,145133661,6.75831,200,905478
16,41400200,0,146064483,6.40156,200,930822
17,36109900,0,147019995,6.08547,200,955512
18,43487400,0,148000481,5.80363,200,980486
19,37545100,0,149005543,5.55089,200,1005062
20,29575300,0,150036262,5.32313,200,1030719
21,32407200,0,151092268,5.11693,200,1056006
22,36774900,0,152173618,4.92949,200,1081350
23,31517800,0,153280113,4.75844,200,1106495
24,31296300,0,154411895,4.60183,200,1131782
25,26987300,0,155569021,4.458,200,1157126
26,36431800,0,156751743,4.32552,200,1182722
27,29889900,0,157959728,4.20318,200,1207985
28,33127700,0,159192886,4.08993,200,1233158
29,33158000,0,160451701,3.98486,200,1258815
30,35636300,0,161735547,3.88717,200,1283846
31,30672500,0,163044481,3.79618,200,1308934
32,43705700,0,164378560,3.71126,200,1334079
33,45890100,0,165737926,3.63189,200,1359366
34,35574700,0,167122892,3.55761,200,1384966
35,33361800,0,168533572,3.48798,200,1410680
36,27077500,0,169969226,3.42262,200,1435654
37,30077300,0,171430480,3.3612,200,1461254
38,33944300,0,172917135,3.30342,200,1486655
39,34555400,0,174429333,3.249,200,1512198
40,30105100,0,175967131,3.1977,200,1537798
41,33778300,0,177529562,3.14928,200,1562431
42,31029000,0,179117280,3.10355,200,1587718
43,31276100,0,180730086,3.06033,200,1612806
44,33857300,0,182368350,3.01944,200,1638264
45,34518800,0,184032100,2.98075,200,1663750
46,41374700,0,185720938,2.9441,200,1688838
47,47214600,0,187434665,2.90937,200,1713727
48,36432800,0,189173935,2.87644,200,1739270
49,33886100,0,190938805,2.84521,200,1764870
50,35161500,0,192729332,2.81558,200,1790527
51,31048200,0,194545146,2.78745,200,1815814
52,31437900,0,196386048,2.76074,200,1840902
53,36125200,0,198252465,2.73536,200,1866417
54,33644100,0,200144311,2.71126,200,1891846
55,59511700,0,202061245,2.68835,200,1916934
56,33732200,0,204003580,2.66657,200,1942335
57,32379400,0,205970690,2.64586,200,1967110
58,36535700,0,207963144,2.62618,200,1992454
59,43394300,0,209981255,2.60747,200,2018111
60,44547600,0,212024909,2.58969,200,2043654
61,73873400,0,214094163,2.57278,200,2069254
62,44578800,0,216188363,2.55671,200,2094200
63,36768500,0,218308049,2.54144,200,2119686
64,36003200,0,220452823,2.52693,200,2144774
65,33186500,0,222622742,2.51313,200,2169919
66,32279000,0,224817948,2.50004,200,2195206
67,39518900,0,227038242,2.4876,200,2220294
68,35371200,0,229283425,2.47579,200,2245183
69,35773200,0,231554151,2.46459,200,2270726
70,34037700,0,233850221,2.45397,200,2296070
71,37258000,0,236171493,2.44391,200,2321272
72,48471000,0,238517483,2.43438,200,2345990
73,48260100,0,240888817,2.42535,200,2371334
74,38853200,0,243285040,2.41682,200,2396223
75,32884600,0,245706550,2.40876,200,2421510
76,35500000,0,248153148,2.40115,200,2446598
77,35561100,0,250625147,2.39398,200,2471999
78,37473100,0,253121665,2.38722,200,2496518
79,35453400,0,255643783,2.38087,200,2522118
80,44324100,0,258190904,2.3749,200,2547121
81,56906500,0,260762430,2.36931,200,2571526
82,39307000,0,263358276,2.36406,200,2595846
83,51132600,0,265979779,2.35917,200,2621503
84,49814900,0,268626057,2.35461,200,2646278
85,38470700,0,271297679,2.35038,200,2671622
86,41331000,0,273994702,2.34646,200,2697023
87,40003400,0,276716500,2.34284,200,2721798
88,43212300,0,279463130,2.33951,200,2746630
89,40687100,0,282235218,2.33646,200,2772088
90,40988400,0,285032792,2.33369,200,2797574
91,43196300,0,287855710,2.33119,200,2822918
92,37810100,0,290704285,2.32894,200,2848575
93,41284400,0,293577891,2.32694,200,2873606
94,45621600,0,296476841,2.32518,200,2898950
95,40178600,0,299401192,2.32366,200,2924351
96,45368000,0,302350830,2.32236,200,2949638
97,58876500,0,305325300,2.32128,200,2974470
98,44037200,0,308324972,2.3204,200,2999672
99,36108200,0,311348594,2.31973,200,3023622
100,41023800,0,314397816,2.31925,200,3049222
101,50318700,0,317472183,2.31897,200,3074367
102,38820700,0,320571837,2.31888,200,3099654
103,39271700,0,323696579,2.31897,200,3124742
104,44076000,0,326846210,2.31923,200,3149631
105,44452200,0,330020872,2.31967,200,3174662
106,38341600,0,333220622,2.32027,200,3199750
107,42359300,0,336445375,2.32103,200,3224753
108,77470600,0,339695301,2.32195,200,3249926
109,38916900,0,342970059,2.32302,200,3274758
110,40985500,0,346269962,2.32425,200,3299903
111,41164200,0,349595408,2.32561,200,3325446
112,41942000,0,352945942,2.32713,200,3350534
113,42081300,0,356321109,2.32877,200,3375167
114,48839900,0,359720795,2.33055,200,3399686
115,55389800,0,363144801,2.33245,200,3424006
116,46690300,0,366594265,2.33448,200,3449464
117,41468100,0,370068703,2.33663,200,3474438
118,42854900,0,373567717,2.3389,200,3499014
119,43946700,0,377092132,2.3413,200,3524415
120,46939000,0,380641834,2.3438,200,3549702
121,50384300,0,384216368,2.34642,200,3574534
122,52570100,0,387815791,2.34915,200,3599423
123,51266300,0,391439733,2.35198,200,3623942
124,46781300,0,395089275,2.35492,200,3649542
125,48975000,0,398763507,2.35795,200,3674232
126,43487700,0,402462457,2.36109,200,3698950
127,62823700,0,406186239,2.36432,200,3723782
128,53464800,0,409934654,2.36764,200,3748415
129,50251200,0,413708100,2.37105,200,3773446
130,51542700,0,417506634,2.37455,200,3798534
131,45769700,0,421330057,2.37815,200,3823423
132,36023500,0,425177999,2.38182,200,3847942
133,43986700,0,429050261,2.38558,200,3872262
134,98945900,0,432947782,2.38942,200,3897521
135,66580700,0,436869452,2.39333,200,3921670
136,44110000,0,440816210,2.39733,200,3946758
137,58013900,0,444788369,2.4014,200,3972159
138,54653100,0,448785047,2.40555,200,3996678
139,49642300,0,452806557,2.40977,200,4021510
140,43650700,0,456852700,2.41406,200,4046143
141,46643400,0,460924130,2.41842,200,4071430
142,55060900,0,465020904,2.42285,200,4096774
143,61584400,0,469142624,2.42735,200,4121720
144,62501600,0,473289830,2.43192,200,4147206
145,42743200,0,477462380,2.43656,200,4172550
146,80357200,0,481660075,2.44126,200,4197695
147,42196300,0,485882545,2.44602,200,4222470
148,47525400,0,490130103,2.45084,200,4247558
149,48186200,0,494402038,2.45572,200,4271935
150,41786600,0,498697724,2.46065,200,4295686
151,43752800,0,503018498,2.46564,200,4320774
152,64268400,0,507364730,2.47069,200,4346232
153,65509600,0,511735680,2.4758,200,4370950
154,57101600,0,516131718,2.48096,200,4396038
155,44682000,0,520552901,2.48617,200,4421183
156,56842900,0,524999115,2.49143,200,4446214
157,60103100,0,529470161,2.49675,200,4471046
158,69058400,0,533966096,2.50211,200,4495935
159,120086600,0,538486550,2.50752,200,4520454
160,46108600,0,543031836,2.51298,200,4545286
161,119303400,0,547602125,2.51849,200,4570289
162,62087600,0,552197587,2.52404,200,4595462
163,46232600,0,556817881,2.52964,200,4620294
164,46221800,0,561462552,2.53529,200,4644671
165,43877200,0,566131998,2.54097,200,4669446
166,47499600,0,570825764,2.5467,200,4693766
167,90509100,0,575544163,2.55246,200,4718399
168,58489000,0,580287593,2.55827,200,4743430
169,48496600,0,585056623,2.56412,200,4769030
170,57016200,0,589850343,2.57002,200,4793720
171,56600600,0,594668781,2.57595,200,4818438
172,43945900,0,599512051,2.58191,200,4843270
173,51164200,0,604379698,2.58792,200,4867647
174,67674600,0,609272376,2.59396,200,4892678
175,63248100,0,614189118,2.60004,200,4916742
176,45065200,0,619130749,2.60615,200,4941631
177,46976500,0,624096643,2.61229,200,4965894
178,52278700,0,629087113,2.61847,200,4990470
179,55057500,0,634101505,2.62468,200,5014392
180,48305300,0,639140103,2.63092,200,5038598
181,53952800,0,644203277,2.63719,200,5063174
182,61582100,0,649291084,2.64349,200,5087807
183,61348200,0,654404178,2.64983,200,5113094
184,52194400,0,659541336,2.6562,200,5137158
185,50209000,0,664702615,2.66259,200,5161279
186,55058300,0,669888157,2.66901,200,5185542
187,75192200,0,675098531,2.67547,200,5210374
188,67329500,0,680333908,2.68195,200,5235377
189,51192600,0,685593690,2.68846,200,5259782
190,55642800,0,690878304,2.695,200,5284614
191,79094400,0,696187807,2.70156,200,5309503
192,65043300,0,701521573,2.70816,200,5333766
193,52348600,0,706880171,2.71478,200,5358598
194,55424800,0,712263402,2.72142,200,5383231
195,58053300,0,717670640,2.72809,200,5407238
196,56317300,0,723102198,2.73479,200,5431558
197,60816400,0,728558190,2.74151,200,5455992
198,57644500,0,734038388,2.74825,200,5480198
199,92507600,0,739543418,2.75501,200,5505030
200,56236000,0,745072825,2.7618,200,5529407
201,46658000,0,750625983,2.76861,200,5553158
202,54328600,0,756202949,2.77544,200,5576966
203,54822800,0,761805060,2.7823,200,5602111
204,69220100,0,767431434,2.78918,200,5626374
205,77270800,0,773082384,2.79607,200,5650950
206,60976300,0,778758280,2.803,200,5675896
207,56919600,0,784458382,2.80994,200,5700102
208,62287300,0,790183060,2.8169,200,5724678
209,59719200,0,795932115,2.82388,200,5749055
210,59418900,0,801705689,2.83089,200,5773574
211,69109000,0,807504095,2.83791,200,5798406
212,53097300,0,813327390,2.84496,200,5823295
213,53014300,0,819174436,2.85202,200,5847046
214,57101900,0,825046058,2.8591,200,5871622
215,62325600,0,830942704,2.86621,200,5896646
216,44702900,0,836863734,2.87333,200,5921030
217,47610800,0,842809596,2.88047,200,5945862
218,55116000,0,848780347,2.88763,200,5970751
219,53876300,0,854775361,2.89481,200,5995014
220,57267300,0,860795207,2.902,200,6019846
221,68856400,0,866840198,2.90922,200,6044991
222,67251200,0,872909196,2.91645,200,6068998
223,57253800,0,879002514,2.9237,200,6093318
224,74337000,0,885120010,2.93096,200,6117496
225,62872900,0,891262224,2.93824,200,6142214
226,60517700,0,897429270,2.94554,200,6167046
227,50904000,0,903620949,2.95285,200,6191679
228,55274100,0,909836891,2.96018,200,6215942
229,57385000,0,916077665,2.96753,200,6240774
230,60969900,0,922343072,2.97489,200,6265407
231,67374000,0,928632230,2.98226,200,6289158
232,63869100,0,934946476,2.98965,200,6314246
233,57583500,0,941285668,2.99706,200,6339192
234,59194300,0,947649578,3.00448,200,6363910
235,61976000,0,954038320,3.01192,200,6388742
236,58016700,0,960451951,3.01938,200,6413631
237,86820600,0,966889589,3.02684,200,6437638
238,65509200,0,973352571,3.03433,200,6462982
239,62894300,0,979840954,3.04183,200,6488383
240,60886600,0,986352832,3.04934,200,6511878
241,66517200,0,992888774,3.05686,200,6535942
242,67083400,0,999449488,3.06439,200,6560714
243,48897600,0,1006034326,3.07194,200,6584838
244,53416400,0,1012643740,3.0795,200,6609414
245,57490700,0,1019278043,3.08708,200,6634303
246,64057000,0,1025935073,3.09466,200,6657030
247,67651700,0,1032616679,3.10226,200,6681606
248,60368500,0,1039322406,3.10986,200,6705727
249,56412400,0,1046052652,3.11748,200,6730246
250,56497000,0,1052806962,3.12511,200,6754310
251,56232000,0,1059586218,3.13275,200,6779256
252,57908300,0,1066389680,3.1404,200,6803462
253,72137700,0,1073215670,3.14806,200,6825990
254,62541900,0,1080066549,3.15573,200,6850879
255,68801200,0,1086941947,3.16342,200,6875398
256,73222000,0,1093841153,3.17111,200,6899206
257,67949500,0,1100765504,3.17881,200,6924351
258,71629800,0,1107713350,3.18653,200,6947846
259,62674200,0,1114684748,3.19425,200,6971398
260,50445000,0,1121680068,3.20198,200,6995320
261,56454100,0,1128700106,3.20972,200,7020038
262,57643700,0,1135744464,3.21747,200,7044358
263,67171200,0,1142813199,3.22524,200,7068735
264,66546800,0,1149907221,3.23301,200,7094022
265,59701600,0,1157025563,3.24079,200,7118342
266,61257000,0,1164168794,3.24859,200,7143231
267,59964300,0,1171336544,3.25639,200,7167750
268,62175200,0,1178527334,3.26421,200,7190790
269,103777300,0,1185742128,3.27202,200,7214794
270,56998300,0,1192981302,3.27985,200,7239174
271,82801400,0,1200244796,3.28769,200,7263494
272,66972500,0,1207531899,3.29554,200,7287103
273,63134900,0,1214842753,3.30339,200,7310854
274,71094700,0,1222176903,3.31125,200,7334150
275,62103700,0,1229535430,3.31911,200,7358527
276,54389300,0,1236918476,3.32699,200,7383046
277,67894200,0,1244325842,3.33487,200,7407366
278,94071300,0,1251756618,3.34276,200,7430776
279,63897200,0,1259212112,3.35066,200,7455494
280,73622600,0,1266691670,3.35857,200,7479558
281,64936500,0,1274195861,3.36649,200,7504191
282,59765400,0,1281724315,3.37441,200,7528454
283,67723700,0,1289277089,3.38235,200,7552774
284,69661000,0,1296852960,3.39028,200,7575871
285,82818900,0,1304452582,3.39823,200,7599622
286,69880600,0,1312076780,3.40618,200,7624198
287,69438000,0,1319725668,3.41414,200,7648888
288,56371300,0,1327397482,3.4221,200,7671814
289,52200600,0,1335092848,3.43007,200,7695366
290,60467200,0,1342812335,3.43805,200,7719487
291,62966300,0,1350554293,3.44603,200,7741958
292,65697400,0,1358320571,3.45402,200,7766278
293,60825300,0,1366110714,3.46201,200,7790143
294,53200200,0,1373926144,3.47002,200,7815430
295,53946000,0,1381765894,3.47803,200,7839750
296,69199300,0,1389630416,3.48604,200,7864522
297,50543400,0,1397519318,3.49407,200,7888902
298,55809900,0,1405431260,3.5021,200,7911942
299,54197800,0,1413367067,3.51014,200,7935807
300,68851200,0,1421328161,3.51818,200,7961094
301,72938600,0,1429313063,3.52623,200,7984902
302,71670900,0,1437321830,3.53428,200,8008767
303,56151900,0,1445355116,3.54235,200,8033286
304,59672400,0,1453413490,3.55042,200,8058374
305,59837800,0,1461495786,3.55849,200,8082296
306,60894900,0,1469601520,3.56657,200,8105734
307,73548000,0,1477730806,3.57466,200,8129286
308,65591300,0,1485884981,3.58275,200,8154175
309,53880000,0,1494062395,3.59085,200,8177414
310,60080000,0,1502264129,3.59895,200,8201734
311,61542500,0,1510490496,3.60706,200,8226367
312,56815000,0,1518740870,3.61518,200,8250374
313,64136500,0,1527016076,3.6233,200,8275206
314,66562500,0,1535315972,3.63143,200,8299896
315,52280600,0,1543639050,3.63956,200,8323078
316,77398200,0,1551986960,3.6477,200,8347910
317,78037700,0,1560359503,3.65584,200,8372543
318,58043300,0,1568756565,3.664,200,8397062
319,69588900,0,1577177691,3.67215,200,8421126
320,72493400,0,1585622170,3.68031,200,8444479
321,61008300,0,1594090144,3.68848,200,8467974
322,59274300,0,1602583206,3.69665,200,8493062
323,70564400,0,1611100784,3.70483,200,8517578
324,54529900,0,1619642486,3.71301,200,8541702
325,60046500,0,1628208508,3.7212,200,8566022
326,59648100,0,1636798395,3.72939,200,8589887
327,61011800,0,1645412289,3.73758,200,8613894
328,58632700,0,1654049991,3.74578,200,8637702
329,65170200,0,1662711558,3.75399,200,8661567
330,61401400,0,1671397644,3.7622,200,8686086
331,65500700,0,1680108050,3.77042,200,8710406
332,77773300,0,1688843146,3.77864,200,8735096
333,77243500,0,1697601424,3.78686,200,8758278
334,78478800,0,1706383766,3.79509,200,8782342
335,66536300,0,1715189973,3.80332,200,8806207
336,68700900,0,1724019931,3.81156,200,8829958
337,64671700,0,1732872929,3.8198,200,8852998
338,54020000,0,1741749792,3.82804,200,8876863
339,55574100,0,1750650662,3.83628,200,8900870
340,57922300,0,1759575084,3.84453,200,8924422
