frame_n,nano_sec,sec,size,compression rate,
0,236122400,0,134217787,100,0.02361224
1,33743300,0,134348865,50.0489,0.00337433
2,648950600,0,134480057,33.3985,0.06489506
3,31447000,0,134611135,25.0733,0.0031447
4,34257200,0,134742213,20.0782,0.00342572
5,43522000,0,134873291,16.7481,0.0043522
6,53219700,0,135004369,14.3694,0.00532197
7,40676200,0,135135447,12.5855,0.00406762
8,41490300,0,135266525,11.1979,0.00414903
9,42751700,0,135397603,10.0879,0.00427517
10,41666300,0,135528681,9.1797,0.00416663
11,30145300,0,135659759,8.42287,0.00301453
12,24707000,0,135809269,7.78352,0.0024707
13,25374500,0,135975163,7.23639,0.00253745
14,28880600,0,136141057,6.7622,0.00288806
15,32336500,0,136306951,6.34729,0.00323365
16,36046300,0,136306951,5.97392,0.00360463
17,28567300,0,136306951,5.64203,0.00285673
18,27417200,0,136306951,5.34508,0.00274172
19,27049400,0,136306951,5.07783,0.00270494
20,26481400,0,136306951,4.83603,0.00264814
21,35995200,0,136306951,4.61621,0.00359952
22,34199800,0,136306951,4.4155,0.00341998
23,30786200,0,136306951,4.23152,0.00307862
24,28305400,0,136306951,4.06226,0.00283054
25,34123200,0,136306951,3.90602,0.00341232
26,34984000,0,136306951,3.76136,0.0034984
27,30401900,0,136306951,3.62702,0.00304019
28,36570100,0,136306951,3.50195,0.00365701
29,28476400,0,136306951,3.38522,0.00284764
30,32219400,0,136306951,3.27602,0.00322194
31,34300800,0,136306951,3.17364,0.00343008
32,27243200,0,136306951,3.07747,0.00272432
33,26026400,0,136306951,2.98696,0.00260264
34,24489400,0,136306951,2.90162,0.00244894
35,25834800,0,136306951,2.82102,0.00258348
36,36524000,0,136306951,2.74477,0.0036524
37,25195000,0,136306951,2.67254,0.0025195
38,26578800,0,136306951,2.60402,0.00265788
39,24573500,0,136306951,2.53891,0.00245735
40,25062400,0,136306951,2.47699,0.00250624
41,27229000,0,136306951,2.41801,0.0027229
42,28719200,0,136306951,2.36178,0.00287192
43,26187600,0,136306951,2.3081,0.00261876
44,25486700,0,136306951,2.25681,0.00254867
45,25408300,0,136306951,2.20775,0.00254083
46,34415600,0,136306951,2.16078,0.00344156
47,34089500,0,136306951,2.11576,0.00340895
48,30751600,0,136306951,2.07258,0.00307516
49,27911700,0,136306951,2.03113,0.00279117
50,28036900,0,136306951,1.99131,0.00280369
51,34789800,0,136306951,1.95301,0.00347898
52,37297900,0,136306951,1.91616,0.00372979
53,31558700,0,136306951,1.88068,0.00315587
54,32046400,0,25414617,0.344279,0.00320464
55,36932600,0,25414617,0.338131,0.00369326
56,25722100,0,25414617,0.332199,0.00257221
57,25984300,0,25414617,0.326472,0.00259843
58,24664700,0,25414617,0.320938,0.00246647
59,25965900,0,19289201,0.239526,0.00259659
60,31528700,0,19515511,0.238364,0.00315287
61,25709100,0,19741821,0.237239,0.00257091
62,23669400,0,19982467,0.236319,0.00236694
63,29947400,0,20223113,0.235428,0.00299474
64,25555600,0,20463759,0.234564,0.00255556
65,26036900,0,20704405,0.233727,0.00260369
66,29146500,0,20945051,0.232915,0.00291465
67,30750100,0,21185697,0.232126,0.00307501
68,28120800,0,21445799,0.231571,0.00281208
69,23228500,0,21705958,0.231031,0.00232285
70,24635200,0,21983468,0.23069,0.00246352
71,25179300,0,22260978,0.230357,0.00251793
72,25007900,0,22538488,0.230034,0.00250079
73,27441800,0,22815998,0.229719,0.00274418
74,27225600,0,23093508,0.229413,0.00272256
75,25849200,0,23371018,0.229115,0.00258492
76,26396100,0,23648528,0.228825,0.00263961
77,23799500,0,23945494,0.228728,0.00237995
78,29598000,0,24242460,0.228633,0.0029598
79,29815200,0,24539426,0.228541,0.00298152
80,27665000,0,24836392,0.228451,0.0027665
81,31791400,0,25151790,0.228531,0.00317914
82,31474900,0,25467188,0.228609,0.00314749
83,25711300,0,25782643,0.228685,0.00257113
84,26228000,0,26098041,0.228759,0.0026228
85,25540300,0,26413439,0.228832,0.00255403
86,24686200,0,26728837,0.228903,0.00246862
87,27820700,0,27044235,0.228972,0.00278207
88,25605800,0,27359633,0.229039,0.00256058
89,24734900,0,27675031,0.229106,0.00247349
90,25279600,0,27990429,0.22917,0.00252796
91,24205400,0,28305827,0.229234,0.00242054
92,25573300,0,28621225,0.229295,0.00255733
93,27469200,0,28936623,0.229356,0.00274692
94,26510600,0,29252021,0.229415,0.00265106
95,26406300,0,29567419,0.229473,0.00264063
96,24711300,0,29904321,0.229695,0.00247113
97,29122800,0,30241223,0.229913,0.00291228
98,28058300,0,30578125,0.230126,0.00280583
99,29475500,0,30915027,0.230335,0.00294755
100,29579700,0,31251929,0.23054,0.00295797
101,36873400,0,31588831,0.23074,0.00368734
102,45223000,0,31588831,0.2285,0.0045223
103,34303600,0,31588831,0.226303,0.00343036
104,34264500,0,31588831,0.224148,0.00342645
105,25040500,0,31588831,0.222033,0.00250405
106,24852500,0,31588831,0.219958,0.00248525
107,25692300,0,31588831,0.217921,0.00256923
108,39455000,0,31588831,0.215922,0.0039455
109,35260700,0,31588831,0.213959,0.00352607
110,36593000,0,31588831,0.212032,0.0036593
111,29535600,0,22488060,0.149597,0.00295356
112,25253100,0,22824962,0.150495,0.00252531
113,29292700,0,23161864,0.151377,0.00292927
114,29255500,0,23498766,0.152243,0.00292555
115,31711400,0,23835668,0.153094,0.00317114
116,26945100,0,24172570,0.153931,0.00269451
117,34389400,0,24509472,0.154754,0.00343894
118,25516600,0,24846374,0.155563,0.00255166
119,25380900,0,25183276,0.156358,0.00253809
120,27973000,0,25520178,0.157141,0.0027973
121,28948900,0,25857080,0.15791,0.00289489
122,28596600,0,26193982,0.158667,0.00285966
123,35290800,0,26530884,0.159412,0.00352908
124,28150900,0,26867786,0.160144,0.00281509
125,26263000,0,27204688,0.160866,0.0026263
126,27500700,0,27541590,0.161575,0.00275007
127,29139100,0,27878492,0.162274,0.00291391
128,33464900,0,28215394,0.162962,0.00334649
129,30197400,0,28552296,0.163639,0.00301974
130,27333200,0,28904558,0.164394,0.00273332
131,31018800,0,29256820,0.165137,0.00310188
132,33955700,0,29609082,0.165868,0.00339557
133,28901800,0,29961344,0.166589,0.00289018
134,31660500,0,30313606,0.167299,0.00316605
135,38134400,0,30665868,0.167999,0.00381344
136,36154200,0,31018130,0.168688,0.00361542
137,34665900,0,31370392,0.169368,0.00346659
138,35568800,0,31722654,0.170038,0.00355688
139,26952300,0,32074973,0.170698,0.00269523
140,27601400,0,32427235,0.171349,0.00276014
141,26360600,0,32779497,0.17199,0.00263606
142,27073700,0,33131759,0.172623,0.00270737
143,36415400,0,33484021,0.173247,0.00364154
144,37188600,0,33836283,0.173862,0.00371886
145,33166900,0,34188545,0.174469,0.00331669
146,29835400,0,34540807,0.175067,0.00298354
147,25176900,0,34893069,0.175658,0.00251769
148,25650100,0,35245331,0.17624,0.00256501
149,35003600,0,35597593,0.176815,0.00350036
150,41022900,0,35949855,0.177382,0.00410229
151,35056900,0,36302117,0.177942,0.00350569
152,27639100,0,36654379,0.178494,0.00276391
153,26113600,0,37006641,0.17904,0.00261136
154,29764700,0,37358903,0.179578,0.00297647
155,31120700,0,37711165,0.180109,0.00311207
156,33303800,0,38063427,0.180634,0.00333038
157,33061700,0,38415689,0.181151,0.00330617
158,28122500,0,38767951,0.181663,0.00281225
159,26813300,0,39131477,0.18222,0.00268133
160,30667200,0,39495003,0.182771,0.00306672
161,29976100,0,39858529,0.183314,0.00299761
162,25787600,0,40242535,0.183945,0.00257876
163,33864900,0,40643949,0.184647,0.00338649
164,34844700,0,41045363,0.18534,0.00348447
165,29342200,0,41446834,0.186026,0.00293422
166,28089800,0,41848248,0.186703,0.00280898
167,25498500,0,42249662,0.187372,0.00254985
168,26232600,0,42651076,0.188033,0.00262326
169,25506100,0,43052490,0.188686,0.00255061
170,25970000,0,43453904,0.189331,0.002597
171,25376700,0,43855318,0.18997,0.00253767
172,25848100,0,44256732,0.1906,0.00258481
173,24838600,0,44672482,0.191285,0.00248386
174,25933400,0,45088232,0.191962,0.00259334
175,27146900,0,45524462,0.192718,0.00271469
176,29763400,0,45960692,0.193465,0.00297634
177,29364100,0,46396922,0.194204,0.00293641
178,38403000,0,46396922,0.19312,0.0038403
179,33653200,0,46396922,0.192047,0.00336532
180,26907400,0,46396922,0.190986,0.00269074
181,29128400,0,46396922,0.189936,0.00291284
182,26696500,0,46396922,0.188898,0.00266965
183,32301700,0,24147434,0.0977785,0.00323017
184,24856600,0,24611312,0.0991181,0.00248566
185,26674000,0,25075190,0.100443,0.0026674
186,28596100,0,25539068,0.101754,0.00285961
187,30130400,0,26002946,0.103052,0.00301304
188,34622300,0,26466824,0.104335,0.00346223
189,27968600,0,26930759,0.105605,0.00279686
190,27652200,0,27394637,0.106862,0.00276522
191,26623600,0,27858515,0.108105,0.00266236
192,27019200,0,28322393,0.109336,0.00270192
193,29288700,0,28786271,0.110554,0.00292887
194,25063700,0,29250149,0.111759,0.00250637
195,25775400,0,29714027,0.112952,0.00257754
196,25873600,0,30177905,0.114133,0.00258736
197,23772000,0,30641783,0.115303,0.0023772
198,26566500,0,31105661,0.11646,0.00265665
199,29822500,0,31569539,0.117606,0.00298225
200,26797500,0,32033417,0.11874,0.00267975
201,26941900,0,32497295,0.119863,0.00269419
202,25407700,0,32961173,0.120975,0.00254077
203,25199800,0,33425051,0.122076,0.00251998
204,27325900,0,33888929,0.123167,0.00273259
205,28191500,0,34352807,0.124247,0.00281915
206,26358300,0,34816685,0.125316,0.00263583
207,25551900,0,35280563,0.126375,0.00255519
208,25715400,0,35744441,0.127424,0.00257154
209,26052300,0,36208319,0.128463,0.00260523
210,27949400,0,36672197,0.129492,0.00279494
211,26595100,0,37136075,0.130512,0.00265951
212,24902700,0,37599953,0.131522,0.00249027
213,33846000,0,38075095,0.132561,0.0033846
214,29170500,0,38550237,0.133591,0.00291705
215,27618900,0,39025379,0.134612,0.00276189
216,31011400,0,39500521,0.135623,0.00310114
217,33299500,0,39975663,0.136625,0.00332995
218,31894400,0,40450805,0.137617,0.00318944
219,29813600,0,40925947,0.138601,0.00298136
220,30914800,0,41401089,0.139576,0.00309148
221,30925000,0,41876231,0.140542,0.0030925
222,33772600,0,42351373,0.141499,0.00337726
223,36181400,0,42826515,0.142448,0.00361814
224,33126500,0,43301657,0.143388,0.00331265
225,32705100,0,43301657,0.142753,0.00327051
226,25981400,0,43301657,0.142124,0.00259814
227,35456400,0,43301657,0.141501,0.00354564
228,30523900,0,25638967,0.0834171,0.00305239
229,30194100,0,26133565,0.0846566,0.00301941
230,26832300,0,26642499,0.0859316,0.00268323
231,31480900,0,27151433,0.0871957,0.00314809
232,36438000,0,27660367,0.0884488,0.0036438
233,34926800,0,28169301,0.0896913,0.00349268
234,26269200,0,28678292,0.0909234,0.00262692
235,25046000,0,29187226,0.0921448,0.0025046
236,25603500,0,29696160,0.093356,0.00256035
237,27706000,0,30205094,0.0945569,0.0027706
238,28577000,0,30714028,0.0957478,0.0028577
239,29762800,0,31236274,0.0969702,0.00297628
240,29907100,0,31758520,0.0981823,0.00299071
241,27917000,0,32280766,0.0993845,0.0027917
242,28407500,0,32803012,0.100577,0.00284075
243,31051000,0,33325258,0.101759,0.0031051
244,32124300,0,33847504,0.102932,0.00321243
245,41527000,0,34369750,0.104095,0.0041527
246,32483300,0,34891996,0.105249,0.00324833
247,36244900,0,35414242,0.106394,0.00362449
248,42800900,0,35936488,0.107529,0.00428009
249,34512900,0,36458734,0.108656,0.00345129
250,35645200,0,36458734,0.108223,0.00356452
251,32358000,0,36458734,0.107793,0.0032358
252,33974400,0,36458734,0.107367,0.00339744
253,31057500,0,36458734,0.106944,0.00310575
254,29990500,0,36458734,0.106525,0.00299905
255,26531300,0,36458734,0.106109,0.00265313
256,29236300,0,36458734,0.105696,0.00292363
257,30252500,0,36458734,0.105286,0.00302525
258,34119200,0,36458734,0.10488,0.00341192
259,40404400,0,30277035,0.0867621,0.00404044
260,27565900,0,30813617,0.0879614,0.00275659
261,26368900,0,31350199,0.0891516,0.00263689
262,27427100,0,31906237,0.0903878,0.00274271
263,34886400,0,32462275,0.0916147,0.00348864
264,32213300,0,33018313,0.0928323,0.00322133
265,35252100,0,33574351,0.0940408,0.00352521
